ticker,company,security_type,change_type,prior_shares,current_shares,shares_delta,shares_delta_pct,prior_value,current_value,value_delta,mtm_component,trading_component,recon_gap,basket
EQPT,EQUIPMENTSHARE COM INC,COMMON,HOLD,213431,217131,3700,1.7335813447905881,4347589,4268795,-78794,-151536,72742,0,Construction
,TABOOLA.COM LTD,COMMON,HOLD,820797,835026,14229,1.7335589676862853,2544471,4175130,1630659,1559514,71145,0,AdTech / digital advertising
QNT,QUANTINUUM INC,COMMON,NEW,,39853,,,0.0,3257584,3257584.0,0,3257584,0,Quantum Computing
FRVO,FERVO ENERGY CO,COMMON,NEW,,9959,,,0.0,291102,291102.0,0,291102,0,AI/Datacenter Power
BTGO,BITGO HOLDINGS INC,COMMON,HOLD,29106,29611,505,1.7350374493231635,239542,153385,-86157,-88773,2616,0,Crypto
AVAV,,COMMON,EXIT,,,,,29594609.0,0.0,-29594609,0,-29594609,0,Defense
AXON,,COMMON,EXIT,,,,,43358726.0,0.0,-43358726,0,-43358726,0,Defense/Security
CHYM,,COMMON,EXIT,,,,,30393808.0,0.0,-30393808,0,-30393808,0,Fintech
SATS,,COMMON,EXIT,,,,,117110506.0,0.0,-117110506,0,-117110506,0,Telecom
HUBS,,COMMON,EXIT,,,,,56659272.0,0.0,-56659272,0,-56659272,0,Enterprise SaaS
LITE,,COMMON,EXIT,,,,,187910294.0,0.0,-187910294,0,-187910294,0,AI/Datacenter Optical
RL,,COMMON,EXIT,,,,,44318640.0,0.0,-44318640,0,-44318640,0,Consumer Discretionary
RBLX,,CALL,EXIT,,,,,56560000.0,0.0,-56560000,0,-56560000,0,Gaming/Metaverse
RBLX,,COMMON,EXIT,,,,,78262242.0,0.0,-78262242,0,-78262242,0,Gaming/Metaverse
RKT,,COMMON,EXIT,,,,,87137995.0,0.0,-87137995,0,-87137995,0,Fintech
RBRK,,COMMON,EXIT,,,,,27739252.0,0.0,-27739252,0,-27739252,0,Cybersecurity
SNOW,,COMMON,EXIT,,,,,21841451.0,0.0,-21841451,0,-21841451,0,AI/Data Infrastructure
SNPS,,COMMON,EXIT,,,,,54288024.0,0.0,-54288024,0,-54288024,0,Semiconductor Supply Chain
U,,CALL,EXIT,,,,,32910000.0,0.0,-32910000,0,-32910000,0,AI/World Models
V,,COMMON,EXIT,,,,,21652776.0,0.0,-21652776,0,-21652776,0,Payments
VST,,COMMON,EXIT,,,,,78741050.0,0.0,-78741050,0,-78741050,0,AI/Datacenter Power
WING,,COMMON,EXIT,,,,,41888856.0,0.0,-41888856,0,-41888856,0,Consumer Discretionary
ZM,,COMMON,EXIT,,,,,105761486.0,0.0,-105761486,0,-105761486,0,Enterprise SaaS
,,COMMON,EXIT,,,,,21109897.0,0.0,-21109897,0,-21109897,0,Semiconductor Manufacturing
,,COMMON,EXIT,,,,,26045540.0,0.0,-26045540,0,-26045540,0,Enterprise SaaS
